образовав: корень-образова;суффикс-в;
татарина: корень-татар;суффикс-ин;окончание-а;
вырастила: приставка-вы;корень-раст;суффикс-и;суффикс-л;окончание-а;
осыпающиеся: приставка-о;корень-сып;суффикс-а;суффикс-ющ;окончание-ие;суффикс-ся;
прислугой: приставка-при;корень-слуг;окончание-ой;
осмолённым: приставка-о;корень-смол;суффикс-ённ;окончание-ым;
вращающееся: корень-вращ;суффикс-а;суффикс-ющ;окончание-ее;суффикс-ся;
высадит: корень-высад;окончание-ит;
гусыней: корень-гус;суффикс-ын;окончание-ей;
костолом: приставка-ко;корень-столом;окончание-;
выкатилась: корень-вык;суффикс-ат;суффикс-и;суффикс-л;окончание-а;суффикс-сь;
отваживаются: корень-отваж;суффикс-ива;окончание-ют;суффикс-ся;
приказывает: корень-приказ;суффикс-ыва;окончание-ет;
рубиновую: корень-рубин;суффикс-ов;окончание-ую;
стремительные: корень-стрем;суффикс-итель;суффикс-н;окончание-ые;
рискует: корень-риск;суффикс-у;окончание-ет;
жениха: корень-жен;суффикс-их;окончание-а;
закапав: приставка-за;корень-кап;суффикс-ав;
посеревшего: корень-пос;суффикс-ер;суффикс-евш;окончание-его;
нагорного: приставка-на;корень-горн;окончание-ого;
погонщики: корень-погон;суффикс-щик;окончание-и;
повалится: приставка-по;корень-вал;окончание-ит;суффикс-ся;
хоккейное: корень-хоккей;суффикс-н;окончание-ое;
закапал: приставка-за;корень-кап;суффикс-а;суффикс-л;
вcпушиться: приставка-вc;корень-пуш;суффикс-и;суффикс-ть;суффикс-ся;
кусту: корень-куст;окончание-у;
вырубающий: приставка-вы;корень-руб;суффикс-а;суффикс-ющ;окончание-ий;
погрустила: приставка-по;корень-груст;суффикс-и;суффикс-л;окончание-а;
бесплатных: приставка-бес;корень-плат;суффикс-н;окончание-ых;
ратуши: корень-ратуш;окончание-и;
неожиданна: приставка-нео;корень-жид;суффикс-анн;окончание-а;
погрустили: приставка-по;корень-груст;суффикс-и;суффикс-л;окончание-и;
порции: корень-порци;окончание-и;
полезнейшие: корень-полез;суффикс-н;суффикс-ейш;окончание-ие;
эскадрильи: корень-эскадриль;окончание-и;
облысеет: приставка-об;корень-лыс;суффикс-е;окончание-ет;
заворачивают: приставка-за;корень-ворач;суффикс-ива;окончание-ют;
безобразия: приставка-без;корень-образ;окончание-ия;
изворотливостью: приставка-из;корень-ворот;суффикс-лив;суффикс-ость;окончание-ю;
ящерицей: корень-ящериц;окончание-ей;
погибаем: приставка-по;корень-гиб;суффикс-а;окончание-ем;
несмолкаемые: приставка-не;корень-смолкаем;окончание-ые;
мелким: корень-мелк;окончание-им;
медленней: корень-медл;суффикс-енн;суффикс-ей;
нитку: корень-нит;суффикс-к;окончание-у;
выводковых: приставка-вы;корень-водк;суффикс-ов;окончание-ых;
ссылке: приставка-с;корень-сыл;суффикс-к;окончание-е;
наклонению: приставка-на;корень-клон;суффикс-ени;окончание-ю;
ссылки: приставка-с;корень-сыл;суффикс-к;окончание-и;
гасим: корень-гас;окончание-им;
успевшему: корень-успе;суффикс-вш;окончание-ему;
пробрит: приставка-про;корень-бри;суффикс-т;окончание-;
разымчивый: приставка-раз;корень-ым;суффикс-чив;окончание-ый;
несогласованность: приставка-не;корень-соглас;суффикс-ова;суффикс-нн;суффикс-ость;окончание-;
осмеливаясь: приставка-о;корень-смел;суффикс-ива;суффикс-я;суффикс-сь;
бокалы: корень-бокал;окончание-ы;
голосит: корень-голос;окончание-ит;
перегонят: приставка-пере;корень-гон;окончание-ят;
предприятиях: корень-предприя;суффикс-т;суффикс-и;окончание-ях;
необоснованно: корень-необоснованно;
интуицию: корень-интуиц;суффикс-и;окончание-ю;
саботирование: корень-сабот;суффикс-ир;суффикс-ова;суффикс-ни;окончание-е;
предпочтут: корень-предпочт;окончание-ут;
преследовали: корень-преследова;суффикс-л;окончание-и;
розовато: корень-розов;суффикс-ат;окончание-о;
лилии: корень-лили;окончание-и;
закатились: приставка-за;корень-кат;суффикс-и;суффикс-л;окончание-и;суффикс-сь;
пересыпанное: приставка-пере;корень-сып;суффикс-анн;окончание-ое;
стихийное: корень-стихий;суффикс-н;окончание-ое;
вьюнком: корень-вью;суффикс-нк;окончание-ом;
стихийном: корень-стихий;суффикс-н;окончание-ом;
порадовалась: приставка-по;корень-рад;суффикс-ова;суффикс-л;окончание-а;суффикс-сь;
дальнейших: корень-дальн;суффикс-ейш;окончание-их;
просёлки: приставка-про;корень-сёл;суффикс-к;окончание-и;
меньшую: корень-меньш;окончание-ую;
неземное: приставка-не;корень-зем;суффикс-н;окончание-ое;
физическое: корень-физи;суффикс-ческ;окончание-ое;
полеводам: приставка-по;корень-левод;окончание-ам;
ловы: корень-лов;окончание-ы;
терпящие: корень-терп;суффикс-ящ;окончание-ие;
физической: корень-физи;суффикс-ческ;окончание-ой;
промысла: корень-промысл;окончание-а;
электронными: корень-электр;суффикс-онн;окончание-ыми;
горохообразный: корень-горохообра;суффикс-зн;окончание-ый;
паханная: корень-пах;суффикс-анн;окончание-ая;
колодезной: корень-колодез;суффикс-н;окончание-ой;
вдохновляет: корень-вдохновл;суффикс-я;окончание-ет;
ремез: корень-рем;суффикс-ез;окончание-;
заколдованно: приставка-за;корень-колд;суффикс-ова;суффикс-нн;окончание-о;
мишке: корень-миш;суффикс-к;окончание-е;
массиву: корень-масс;суффикс-ив;окончание-у;
смятое: корень-смят;окончание-ое;
сплавиться: приставка-с;корень-плав;суффикс-и;суффикс-ть;суффикс-ся;
вбивал: приставка-в;приставка-би;корень-вал;
смятой: корень-смят;окончание-ой;
подушкой: корень-подушк;окончание-ой;
поджигаешь: приставка-под;корень-жиг;суффикс-а;окончание-ешь;
охай: приставка-о;корень-хай;
фиксирует: корень-фикс;суффикс-ир;суффикс-у;окончание-ет;
камениста: корень-камен;суффикс-ист;окончание-а;
плошку: корень-плошк;окончание-у;
ночевавшие: корень-ноч;суффикс-ева;суффикс-вш;окончание-ие;
витринах: корень-витрин;окончание-ах;
ночевавший: корень-ноч;суффикс-ева;суффикс-вш;окончание-ий;
фабрично: корень-фабрич;суффикс-н;окончание-о;
покупательская: приставка-по;корень-купат;суффикс-ель;суффикс-ск;окончание-ая;
завершающей: корень-завер;суффикс-ша;суффикс-ющ;окончание-ей;
снегомерная: приставка-с;приставка-не;корень-гомер;суффикс-н;окончание-ая;
сгорают: приставка-с;корень-гор;суффикс-а;окончание-ют;
повял: приставка-по;корень-вял;
прихватил: приставка-при;корень-хват;суффикс-и;суффикс-л;
выглянувшего: приставка-вы;корень-гля;суффикс-ну;суффикс-вш;окончание-его;
церемонясь: корень-церемон;суффикс-я;суффикс-сь;
плёсом: корень-плёс;окончание-ом;
скупа: корень-скуп;окончание-а;
выступающему: приставка-вы;корень-ступ;суффикс-а;суффикс-ющ;окончание-ему;
пошатнулась: приставка-по;корень-шат;суффикс-ну;суффикс-л;окончание-а;суффикс-сь;
сигнальщики: корень-сигналь;суффикс-щик;окончание-и;
ничьим: корень-ничь;окончание-им;
автомобиле: приставка-а;приставка-в;корень-том;суффикс-о;суффикс-б;суффикс-и;суффикс-л;окончание-е;
делюсь: корень-дел;окончание-ю;суффикс-сь;
снежнее: корень-снеж;суффикс-н;суффикс-е;суффикс-е;
прогорите: приставка-про;корень-гор;окончание-ите;
обширном: корень-обширн;окончание-ом;
обширной: корень-обширн;окончание-ой;
пароходика: корень-пароход;суффикс-ик;окончание-а;
готовален: корень-готов;суффикс-ал;суффикс-ен;окончание-;
завязывающий: приставка-за;корень-вяз;суффикс-ыва;суффикс-ющ;окончание-ий;
гарантирующих: корень-гарант;суффикс-ир;суффикс-у;суффикс-ющ;окончание-их;
отбивал: приставка-от;приставка-би;корень-вал;
питомицей: корень-питом;суффикс-иц;окончание-ей;
ванные: корень-ванн;окончание-ые;
отмечен: приставка-от;корень-меч;суффикс-ен;окончание-;
доисторических: приставка-до;корень-истори;суффикс-ческ;окончание-их;
причудливого: приставка-при;корень-чуд;суффикс-лив;окончание-ого;
лужами: корень-луж;окончание-ами;
врагом: корень-враг;окончание-ом;
обработке: приставка-об;корень-работ;суффикс-к;окончание-е;
осуждаешь: приставка-о;корень-сужд;суффикс-а;окончание-ешь;
сеанса: корень-сеанс;окончание-а;
лелеявшие: корень-леле;суффикс-яв;суффикс-ш;окончание-ие;
вянувших: корень-вя;суффикс-ну;суффикс-вш;окончание-их;
сплетает: приставка-с;корень-плет;суффикс-а;окончание-ет;
изменившей: корень-измен;суффикс-ивш;окончание-ей;
вышеуказанные: приставка-вы;корень-шеуказ;суффикс-анн;окончание-ые;
наделила: корень-наде;суффикс-л;суффикс-и;суффикс-л;окончание-а;
посконная: корень-поскон;суффикс-н;окончание-ая;
сдержано: приставка-с;корень-держ;суффикс-ан;окончание-о;
дослужился: приставка-до;корень-служ;суффикс-и;суффикс-л;суффикс-ся;
одолевала: корень-одол;суффикс-ева;суффикс-л;окончание-а;
обогащая: приставка-о;корень-богащ;суффикс-а;суффикс-я;
пересчитывал: приставка-пере;корень-счит;суффикс-ыва;суффикс-л;
пробивали: корень-проб;суффикс-ива;суффикс-л;окончание-и;
многоэтажному: корень-мног;суффикс-о;суффикс-эт;суффикс-аж;суффикс-н;окончание-ому;
достаёт: корень-доста;окончание-ёт;
сеяло: корень-се;суффикс-я;суффикс-л;окончание-о;
обложив: приставка-об;корень-лож;суффикс-ив;
небезызвестных: приставка-небез;корень-ызвестн;окончание-ых;
кранны: корень-кран;суффикс-н;окончание-ы;
слетели: корень-сле;суффикс-тел;окончание-и;
повинуясь: корень-повин;суффикс-у;суффикс-я;суффикс-сь;
засеваешь: приставка-за;корень-се;суффикс-ва;окончание-ешь;
наворачивали: приставка-на;корень-ворач;суффикс-ива;суффикс-л;окончание-и;
недостижимо: приставка-не;корень-достиж;суффикс-им;окончание-о;
петляют: корень-петл;суффикс-я;окончание-ют;
муравейнику: корень-муравей;суффикс-ник;окончание-у;
мирская: корень-мир;суффикс-ск;окончание-ая;
сколочены: приставка-с;корень-колоч;суффикс-ен;окончание-ы;
безоружному: приставка-без;корень-оруж;суффикс-н;окончание-ому;
перемешиваться: приставка-пере;корень-меш;суффикс-ива;суффикс-ть;суффикс-ся;
заблестевшие: приставка-за;корень-блест;суффикс-евш;окончание-ие;
приперев: корень-припер;суффикс-ев;
заухал: приставка-за;приставка-у;корень-ха;суффикс-л;
тупым: корень-туп;окончание-ым;
наказала: корень-наказ;суффикс-ал;окончание-а;
запрокидываешь: приставка-за;корень-прок;суффикс-ид;суффикс-ыва;окончание-ешь;
обувная: приставка-о;корень-бу;суффикс-в;суффикс-н;окончание-ая;
перемешанной: приставка-пере;корень-меша;суффикс-нн;окончание-ой;
морфемы: корень-морфем;окончание-ы;
танце: корень-танц;окончание-е;
позволялось: корень-позвол;суффикс-я;суффикс-л;окончание-о;суффикс-сь;
запакована: приставка-за;корень-пакова;суффикс-н;окончание-а;
вcтрепаться: приставка-вc;корень-треп;суффикс-а;суффикс-ть;суффикс-ся;
пренебрегают: корень-пренебрег;суффикс-а;окончание-ют;
адресуемая: корень-адресуем;окончание-ая;
странницы: корень-странн;суффикс-иц;окончание-ы;
потушена: корень-пот;суффикс-уш;суффикс-ен;окончание-а;
кед: корень-кед;окончание-;
проказников: корень-проказ;суффикс-ник;окончание-ов;
набедокурят: приставка-на;корень-бедокур;окончание-ят;
облазил: приставка-об;корень-лаз;суффикс-и;суффикс-л;
обвинишь: приставка-об;корень-вин;окончание-ишь;
жёлудем: корень-жёлуд;окончание-ем;
разительно: корень-разительно;
делаешься: корень-дел;суффикс-а;окончание-ешь;суффикс-ся;
потрепал: приставка-по;корень-треп;суффикс-а;суффикс-л;
подчиняющиеся: корень-подчин;суффикс-я;суффикс-ющ;окончание-ие;суффикс-ся;
попугая: корень-попуга;окончание-я;
смажешь: корень-см;суффикс-аж;окончание-ешь;
молодеет: корень-молод;суффикс-е;окончание-ет;
холщовыми: корень-холщ;суффикс-ов;окончание-ыми;
озарим: корень-озар;окончание-им;
гармонии: корень-гармон;окончание-ии;
неуживчивость: приставка-не;приставка-у;корень-жив;суффикс-чив;суффикс-ость;окончание-;
обезьяны: корень-обезьян;окончание-ы;
подаяния: приставка-по;корень-да;суффикс-ян;окончание-ия;
укрывающие: приставка-у;корень-кры;суффикс-ва;суффикс-ющ;окончание-ие;
плащей: корень-плащ;окончание-ей;
боявшийся: корень-бо;суффикс-яв;суффикс-ш;окончание-ий;суффикс-ся;
вплела: приставка-в;корень-пл;суффикс-ел;окончание-а;
перочинного: корень-пер;суффикс-оч;суффикс-ин;суффикс-н;окончание-ого;
залом: корень-зал;окончание-ом;
единодушно: корень-единодушно;
фантазёры: корень-фантаз;суффикс-ёр;окончание-ы;
носилось: корень-нос;суффикс-и;суффикс-л;окончание-о;суффикс-сь;
сонному: корень-сон;суффикс-н;окончание-ому;
спрашиваем: корень-спраш;суффикс-ива;окончание-ем;
деревушку: корень-дерев;суффикс-ушк;окончание-у;
утверждением: корень-утвержд;суффикс-ени;окончание-ем;
вынудил: приставка-вы;корень-нуд;суффикс-и;суффикс-л;
скучают: корень-скуч;суффикс-а;окончание-ют;
потребовала: приставка-по;корень-требова;суффикс-л;окончание-а;
небосводом: приставка-не;корень-босвод;окончание-ом;
привода: приставка-при;корень-вод;окончание-а;
привезённые: приставка-при;корень-вез;суффикс-ённ;окончание-ые;
действует: корень-дей;суффикс-ств;суффикс-у;окончание-ет;
прилетим: приставка-при;корень-лет;окончание-им;
кладбищенской: корень-кладбищ;суффикс-енск;окончание-ой;
залетело: корень-зал;суффикс-ет;суффикс-ел;окончание-о;
кольцами: корень-кольц;окончание-ами;
ослышится: приставка-о;корень-слыш;окончание-ит;суффикс-ся;
обеспокоенного: приставка-о;корень-беспоко;суффикс-енн;окончание-ого;
перераспределяй: приставка-пере;корень-распредел;суффикс-яй;
расслышавший: приставка-рас;корень-слыш;суффикс-авш;окончание-ий;
запахнувшись: корень-зап;суффикс-ах;суффикс-ну;суффикс-вш;суффикс-и;суффикс-сь;
перегонишь: приставка-пере;корень-гон;окончание-ишь;
посмешил: приставка-по;корень-смеш;суффикс-и;суффикс-л;
печалился: корень-печал;суффикс-и;суффикс-л;суффикс-ся;
недвижны: приставка-не;корень-движ;суффикс-н;окончание-ы;
попрыгивала: приставка-по;корень-прыг;суффикс-ива;суффикс-л;окончание-а;
ярема: корень-ярем;окончание-а;
гулянья: корень-гул;суффикс-янь;окончание-я;
подаренную: приставка-под;корень-арен;суффикс-н;окончание-ую;
завалим: корень-зав;суффикс-ал;окончание-им;
парусом: корень-парус;окончание-ом;
сиживали: корень-сиж;суффикс-ива;суффикс-л;окончание-и;
кредитов: корень-кредит;окончание-ов;
завалил: корень-зав;суффикс-ал;суффикс-и;суффикс-л;
копной: корень-копн;окончание-ой;
перемешанных: приставка-пере;корень-меша;суффикс-нн;окончание-ых;
поклоняющийся: приставка-по;корень-клоня;суффикс-ющ;окончание-ий;суффикс-ся;
поднимитесь: корень-подним;суффикс-ит;суффикс-е;суффикс-сь;
поплакавшись: приставка-по;корень-плак;суффикс-авш;суффикс-и;суффикс-сь;
старославянская: корень-старосл;суффикс-ав;суффикс-ян;суффикс-ск;окончание-ая;
детских: корень-дет;суффикс-ск;окончание-их;
раздевалки: приставка-раз;корень-дев;суффикс-ал;суффикс-к;окончание-и;
изложивший: корень-излож;суффикс-ивш;окончание-ий;
захороните: приставка-за;корень-хорон;окончание-ите;
винтовками: корень-винт;суффикс-ов;суффикс-к;окончание-ами;
приклеивающийся: приставка-при;корень-кле;суффикс-ива;суффикс-ющ;окончание-ий;суффикс-ся;
поползни: приставка-по;корень-полз;суффикс-н;окончание-и;
срисовал: приставка-с;корень-рис;суффикс-ова;суффикс-л;
сниженные: приставка-с;корень-ниж;суффикс-енн;окончание-ые;
перекрашиваются: приставка-пере;корень-краш;суффикс-ива;окончание-ют;суффикс-ся;
колбасного: корень-колбас;суффикс-н;окончание-ого;
поднимись: корень-подним;суффикс-и;суффикс-сь;
совершенствования: корень-совершен;суффикс-ств;суффикс-ова;суффикс-н;окончание-ия;
полёживает: корень-пол;суффикс-ёж;суффикс-ива;окончание-ет;
утирая: приставка-у;корень-тир;суффикс-а;суффикс-я;
ловлей: корень-ловл;окончание-ей;
подтягивал: приставка-под;корень-тяг;суффикс-ива;суффикс-л;
трактиры: корень-трактир;окончание-ы;
созданному: корень-созда;суффикс-нн;окончание-ому;
прежнюю: корень-прежн;окончание-юю;
прочертили: приставка-про;корень-черт;суффикс-и;суффикс-л;окончание-и;
прочертила: приставка-про;корень-черт;суффикс-и;суффикс-л;окончание-а;
мчащихся: корень-мч;суффикс-ащ;окончание-их;суффикс-ся;
теневые: корень-тен;суффикс-ев;окончание-ые;
гостинцем: корень-гост;суффикс-ин;суффикс-ц;окончание-ем;
захлопывающуюся: приставка-за;корень-хлоп;суффикс-ыва;суффикс-ющ;окончание-ую;суффикс-ся;
безлиственной: приставка-без;корень-лист;суффикс-в;суффикс-енн;окончание-ой;
слушателя: корень-слуш;суффикс-ат;суффикс-ел;окончание-я;
погудят: приставка-по;корень-гуд;окончание-ят;
пользуйся: корень-польз;суффикс-у;суффикс-й;суффикс-ся;
камзолы: корень-камзол;окончание-ы;
соединимся: приставка-со;корень-един;окончание-им;суффикс-ся;
томная: корень-томн;окончание-ая;
скиснет: приставка-с;корень-кис;суффикс-н;окончание-ет;
высунувши: корень-выс;суффикс-ун;суффикс-у;суффикс-вш;суффикс-и;
символов: корень-символ;окончание-ов;
звероподобные: корень-звероподобн;окончание-ые;
выспались: приставка-вы;корень-спа;суффикс-л;окончание-и;суффикс-сь;
сушёных: корень-суш;суффикс-ён;окончание-ых;
пузатые: корень-пуз;суффикс-ат;окончание-ые;
солидные: корень-солидн;окончание-ые;
увлекательных: приставка-у;корень-влек;суффикс-ат;суффикс-ель;суффикс-н;окончание-ых;
обогревал: приставка-обо;корень-гре;суффикс-ва;суффикс-л;
бессердечными: приставка-бес;корень-сердеч;суффикс-н;окончание-ыми;
покрикивая: приставка-по;корень-крик;суффикс-ива;суффикс-я;
придирчивая: приставка-при;корень-дир;суффикс-чив;окончание-ая;
электронное: корень-электр;суффикс-онн;окончание-ое;
носившие: корень-нос;суффикс-ивш;окончание-ие;
прошлогоднее: приставка-про;корень-шлогодн;окончание-ее;
хрипят: корень-хрип;окончание-ят;
скрытной: корень-скры;суффикс-т;суффикс-н;окончание-ой;
восхождения: приставка-вос;корень-хожд;суффикс-ен;окончание-ия;
избавлял: корень-избавл;суффикс-я;суффикс-л;
подомной: приставка-по;корень-домн;окончание-ой;
свернувшегося: корень-свер;суффикс-ну;суффикс-вш;окончание-его;суффикс-ся;
глазищами: корень-глаз;суффикс-ищ;окончание-ами;
треснувшими: корень-трес;суффикс-ну;суффикс-вш;окончание-ими;
разорили: корень-разор;суффикс-и;суффикс-л;окончание-и;
паутинкой: корень-паут;суффикс-инк;окончание-ой;
вскопана: приставка-в;корень-скоп;суффикс-ан;окончание-а;
накошенной: приставка-на;корень-кош;суффикс-енн;окончание-ой;
увидавшего: приставка-у;корень-вид;суффикс-авш;окончание-его;
застелю: корень-заст;суффикс-ел;окончание-ю;
залёгшую: приставка-за;корень-лёг;суффикс-ш;окончание-ую;
мгновенного: корень-мгновен;суффикс-н;окончание-ого;
закачал: приставка-за;корень-кач;суффикс-а;суффикс-л;
крапивницы: корень-крапив;суффикс-ниц;окончание-ы;
протяжность: корень-прот;суффикс-яж;суффикс-н;суффикс-ость;окончание-;
бескрайное: приставка-бес;корень-крайн;окончание-ое;
надломленной: приставка-над;корень-ломл;суффикс-енн;окончание-ой;
безжалостными: приставка-без;корень-жал;суффикс-ост;суффикс-н;окончание-ыми;
усмехаются: приставка-у;корень-смех;суффикс-а;окончание-ют;суффикс-ся;
тружеников: корень-труж;суффикс-ени;суффикс-к;окончание-ов;
килограммами: приставка-кило;корень-грамм;окончание-ами;
дородстве: корень-дород;суффикс-ств;окончание-е;
жизненных: корень-жизн;суффикс-енн;окончание-ых;
последовательного: корень-послед;суффикс-оват;суффикс-ель;суффикс-н;окончание-ого;
скамеечки: корень-скаме;суффикс-еч;суффикс-к;окончание-и;
перекупались: приставка-пере;корень-куп;суффикс-а;суффикс-л;окончание-и;суффикс-сь;
услышавши: приставка-у;корень-слыш;суффикс-авш;суффикс-и;
обдаёт: приставка-об;корень-да;окончание-ёт;
утешайте: приставка-у;корень-теш;суффикс-а;суффикс-й;суффикс-т;суффикс-е;
совместное: корень-совмест;суффикс-н;окончание-ое;
усовершенствованиями: приставка-у;корень-совершен;суффикс-ств;суффикс-ова;суффикс-н;суффикс-и;окончание-ями;
выбывшего: приставка-вы;корень-бы;суффикс-вш;окончание-его;
гороховая: корень-горох;суффикс-ов;окончание-ая;
уличного: корень-улич;суффикс-н;окончание-ого;
поведением: приставка-по;корень-вед;суффикс-ени;окончание-ем;
обидит: корень-обид;окончание-ит;
оттеснили: приставка-от;корень-тесн;суффикс-и;суффикс-л;окончание-и;
содействует: корень-содейств;суффикс-у;окончание-ет;
бездне: приставка-без;корень-дн;окончание-е;
опишу: корень-опи;суффикс-ш;окончание-у;
выли: корень-выл;окончание-и;
ужинал: корень-ужин;суффикс-а;суффикс-л;
бочоночке: корень-боч;суффикс-он;суффикс-очк;окончание-е;
выла: корень-выл;окончание-а;
разыскивается: приставка-раз;корень-ыск;суффикс-ива;окончание-ет;суффикс-ся;
